Bahawalnagar,Punjab,50991,74533,111313,160883
Bahawalpur,Punjab,133782,180263,408395,762774
Bhakkar,Punjab,34638,41934,68896,112807
Bolhari,Sindh,0,0,0,158239
Burewala,Punjab,57741,86311,152097,232030
Chakwal,Punjab,29143,43670,80508,138214
Chaman,Balochistan,20702,29793,56792,123206
Charsada,KPK,45555,62530,87218,114558
Chinot,Punjab,70108,105559,172522,278528
Chistian,Punjab,38496,61959,102287,149424
Dadu,Sindh,30184,39298,102550,171319
Daska,Punjab,34487,55555,102883,175416
Dera Ghazi Khan,Punjab,72343,102007,190542,397362
Dera Ismail Khan,KPK,58778,68145,92114,218018
Faisalabad,Punjab,823343,1104209,2008861,3210158
Ferozewala,Punjab,0,0,55433,141181
Ghotki,Sindh,19275,28837,52823,111398
Gojra,Punjab,41975,68000,117892,174831
Gujranwal,Punjab,323880,600993,1132509,2028421
Guranwala Cantt,Punjab,36598,57760,93093,136919
Gujrat,Punjab,100333,155058,251792,390758
Hafizabad,Punjab,61597,83464,133678,245751
Haroonabad,Punjab,35189,42590,62878,107680
Hasilpur,Punjab,15742,37026,71295,115613
Hub,Balochistan,0,4249,62763,177823
Hyderabad,Sindh,628631,751529,1166894,1733622
Islamabad,Punjab,76641,204364,529180,1009003
Jacobabad,Sindh,57596,79365,138780,191098
Jaranwala,Punjab,46494,69459,106985,150699
Jatoi,Punjab,8068,21422,38986,109538
Jhang,Punjab,131843,195558,293366,414309
Jehlum,Punjab,70157,106462,147392,190471
Kabal,KPK,0,0,0,117973
Kamalia,Punjab,50934,61107,97324,135674
Kambar Ali Khān,Sindh,18476,25885,58369,100970
Kamoki,Punjab,50257,71097,152288,248814
Kandhkot,Sindh,21946,31948,67566,100850
Karachi,Sindh,3515402,5208132,9339023,14884402
Kasur,Punjab,101295,155523,245321,358296
Khairpur,Sindh,48299,61447,105637,183120
Khanewal,Punjab,67746,89090,133986,249916
Khanpur,Punjab,49235,70589,120382,184374
Khushab,Punjab,43391,56274,87859,119426
Khuzdar,Balochistan,3362,30887,91057,182444
Kohat,KPK,65202,77604,126627,228555
Kot Abdul Malik,Punjab,0,0,63525,143099
Kot Addu,Punjab,21409,37479,80720,129859
Kotri,Sindh,29746,39390,62085,101124
Lahore,Punjab,2198890,2988486,5209088,11119985
Larkana,Sindh,71893,123890,270283,488006
Layyah,Punjab,33549,51482,72319,126055
Lodhran,Punjab,14232,21791,65501,117762
Mandi Bahudin,Punjab,36172,44796,99496,198643
Mansehra,KPK,19865,27843,49534,127645
Mardan,KPK,115194,147977,245926,359024
Mianwali,Punjab,48304,59159,80171,118865
Mingora,KPK,51117,88078,173868,331377
Mirpur Khan,Sindh,81965,124371,189671,234133
Multan,Punjab,538949,732070,1197384,1872641
Muridke,Punjab,18507,35419,111951,167082
Muree,Punjab,17065,15928,21375,157043
Muzaffargarh,Punjab,24736,53192,123404,209902
Narowal,Punjab,22174,35125,57052,103128
Nawabshah,Sindh,81045,102139,189244,279338
Nowshera,KPK,55916,74913,89813,120275
Okara,Punjab,84334,127455,201815,358146
Pakpattan,Punjab,42028,69820,109033,176686
Peshawar,KPK,272697,566248,982816,1969823
Quetta,Balochistan,158026,285719,565137,999385
Rahimyar Khan,Punjab,74262,119036,233537,420963
Rawalpindi,Punjab,614809,794843,1409768,2097824
Sadiqabad,Punjab,37121,63935,144391,238313
Sahiwal,Punjab,106648,150954,208778,388795
Sambrial,Punjab,14300,24432,49574,109438
Samundri,Punjab,13642,30849,54908,156938
Sargodha,Punjab,200460,291362,458440,658208
Shadadkot,Sindh,24323,32888,60436,118935
Sheikhupura,Punjab,80560,141168,280263,473269
Shikarpur,Sindh,70924,88138,134883,196158
Sialkot,Punjab,203650,302009,421502,656730
Sukkur,Sindh,158781,190551,335551,500401
Swabi,KPK,37292,46344,80157,123402
Tando Adam,Sindh,49747,62744,104907,152025
Tando Allahyar,Sindh,26314,30647,85812,162826
Tando Muhammad Khan,Sindh,39003,41757,65396,101868
Taxila,Punjab,0,38374,71882,122013
Turbat,Balochistan,27671,52337,68603,213831
Umerkot,Sindh,8381,13742,35559,134196
Vehari,Punjab,28246,53799,94343,145647
Wah Contonment,Punjab,107510,122335,198891,379534
Wazirabad,Punjab,40063,62725,90197,128096
